time_period,time_identifier,geographic_level,country_code,country_name,version,school_type,key_stage,overall_absence_percent,overall_absence_percent_groups,total_number_of_pupils_at_the_end_of_key_stage_4,number_of_pupils_who_achieved_grades_9_to_4_in_English_and_maths,number_of_pupils_who_achieved_grades_9_to_5_in_English_and_maths,number_of_pupils_who_achieved_all_components_of_the_English_Baccalaureate_grades_9_to_5,percentage_of_pupils_who_achieved_grades_9_to_4_in_English_and_maths,percentage_of_pupils_who_achieved_grades_9_to_5_in_English_and_maths,percentage_of_pupils_who_achieved_all_components_of_the_English_Baccalaureate_grades_9_to_5
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,Total,Total,488165,329827,222234,89282,67.6,45.5,18.3
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,0,Total,11143,9325,7402,3783,83.7,66.4,33.9
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,0>-<1,Total,53150,43270,33273,15557,81.4,62.6,29.3
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,1-<2,Total,70969,56222,41245,18180,79.2,58.1,25.6
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,2-<3,Total,69157,52792,37202,15342,76.3,53.8,22.2
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,3-<4,Total,56901,41733,28457,11318,73.3,50,19.9
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,4-<5,Total,46012,32116,21041,8004,69.8,45.7,17.4
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,5-<6,Total,36923,24697,15689,5760,66.9,42.5,15.6
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,6-<7,Total,28700,17907,10797,3688,62.4,37.6,12.9
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,7-<8,Total,22124,13021,7553,2477,58.9,34.1,11.2
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,8-<9,Total,16999,9506,5278,1598,55.9,31,9.4
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,9-<10,Total,12746,6665,3627,1055,52.3,28.5,8.3
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,10-<11,Total,9956,4840,2501,734,48.6,25.1,7.4
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,11-<12,Total,7642,3507,1762,472,45.9,23.1,6.2
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,12-<13,Total,6018,2608,1232,313,43.3,20.5,5.2
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,13-<14,Total,4985,1985,971,258,39.8,19.5,5.2
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,14-<15,Total,3965,1480,675,155,37.3,17,3.9
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,15-<16,Total,3377,1230,553,122,36.4,16.4,3.6
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,16-<17,Total,2701,947,414,84,35.1,15.3,3.1
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,17-<18,Total,2448,790,353,78,32.3,14.4,3.2
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,18-<19,Total,2069,668,282,55,32.3,13.6,2.7
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,19-<20,Total,1766,527,237,38,29.8,13.4,2.2
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,20-<21,Total,1517,462,202,31,30.5,13.3,2
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,21-<22,Total,1310,366,167,24,27.9,12.7,1.8
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,22-<23,Total,1141,312,128,26,27.3,11.2,2.3
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,23-<24,Total,1108,302,118,16,27.3,10.6,1.4
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,24-<25,Total,959,255,98,20,26.6,10.2,2.1
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,25-<26,Total,826,215,84,9,26,10.2,1.1
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,26-<27,Total,770,166,81,10,21.6,10.5,1.3
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,27-<28,Total,644,153,67,8,23.8,10.4,1.2
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,28-<29,Total,660,164,64,7,24.8,9.7,1.1
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,29-<30,Total,565,121,46,3,21.4,8.1,0.5
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,30-<31,Total,590,125,62,10,21.2,10.5,1.7
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,31-<32,Total,504,109,45,8,21.6,8.9,1.6
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,32-<33,Total,423,87,32,3,20.6,7.6,0.7
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,33-<34,Total,375,64,26,4,17.1,6.9,1.1
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,34-<35,Total,425,91,34,3,21.4,8,0.7
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,35-<36,Total,371,83,28,4,22.4,7.5,1.1
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,36-<37,Total,354,73,29,1,20.6,8.2,0.3
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,37-<38,Total,317,54,26,1,17,8.2,0.3
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,38-<39,Total,334,63,28,3,18.9,8.4,0.9
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,39-<40,Total,284,61,30,1,21.5,10.6,0.4
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,40-<41,Total,252,47,27,2,18.7,10.7,0.8
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,41-<42,Total,255,47,21,1,18.4,8.2,0.4
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,42-<43,Total,220,49,25,1,22.3,11.4,0.5
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,43-<44,Total,227,35,15,1,15.4,6.6,0.4
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,44-<45,Total,192,33,16,2,17.2,8.3,1
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,45-<46,Total,185,28,9,1,15.1,4.9,0.5
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,46-<47,Total,185,22,8,0,11.9,4.3,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,47-<48,Total,172,27,12,1,15.7,7,0.6
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,48-<49,Total,187,31,11,2,16.6,5.9,1.1
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,49-<50,Total,131,14,4,0,10.7,3.1,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,50-<51,Total,151,20,9,0,13.2,6,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,51-<52,Total,145,27,11,0,18.6,7.6,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,52-<53,Total,128,22,11,1,17.2,8.6,0.8
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage ,53-<54,Total,140,29,12,3,20.7,8.6,2.1
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,54-<55,Total,135,20,10,0,14.8,7.4,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,55-<56,Total,130,17,9,1,13.1,6.9,0.8
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,56-<57,Total,108,9,3,0,8.3,2.8,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,57-<58,Total,123,13,7,0,10.6,5.7,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,58-<59,Total,89,9,4,0,10.1,4.5,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,59-<60,Total,87,12,6,1,13.8,6.9,1.1
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,60-<61,Total,80,9,3,1,11.3,3.8,1.3
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,61-<62,Total,82,13,6,0,15.9,7.3,0
201819,Academic year,National,E92000001,England,Final,State funded mainstream schools,Key stage 4,62-<63,Total,83,13,7,0,15.7,8.4,0
